source;destination;local_departure_time;local_arrival_time
VDC;CNF;2016-08-07 14:25:00;2016-08-07 16:10:00
USM;SIN;2016-12-22 10:15:00;2016-12-22 13:05:00
DPS;CGK;2016-05-12 21:30:00;2016-05-12 22:25:00
SRG;CGK;2016-09-06 16:50:00;2016-09-06 18:00:00
POA;PVH;2016-03-23 18:31:00;2016-03-24 01:22:00
MUR;MYY;2016-04-09 11:05:00;2016-04-09 11:25:00
BRU;LGW;2016-03-28 19:20:00;2016-03-28 19:30:00
LCY;DUS;2016-03-30 18:45:00;2016-03-30 21:05:00
CCU;LKO;2016-04-24 09:25:00;2016-04-24 12:00:00
GIG;CGH;2016-04-26 08:18:00;2016-04-26 09:30:00
TXL;DUS;2016-05-29 18:55:00;2016-05-29 20:05:00
SGN;UIH;2016-05-14 13:45:00;2016-05-14 14:55:00
BRU;XRY;2016-05-08 06:30:00;2016-05-08 09:25:00
LHR;DUS;2017-03-01 19:30:00;2017-03-01 21:50:00
SBH;PTP;2016-10-29 17:30:00;2016-10-29 18:30:00
LIS;MAD;2016-11-11 16:35:00;2016-11-11 18:50:00
DEL;BOM;2016-11-12 09:30:00;2016-11-12 11:35:00
UPG;KDI;2016-10-21 16:20:00;2016-10-21 17:30:00
VDH;SGN;2016-06-03 13:20:00;2016-06-03 14:55:00
ANU;DOM;2016-11-04 17:10:00;2016-11-04 17:50:00
ALC;EIN;2017-02-02 19:10:00;2017-02-02 21:55:00
LHR;DUS;2017-03-01 08:05:00;2017-03-01 10:25:00
AKL;BNE;2016-12-13 18:10:00;2016-12-13 19:00:00
HTN;URC;2016-06-22 23:20:00;2016-06-23 01:05:00
DJE;CDG;2016-09-24 18:15:00;2016-09-24 22:50:00
BJR;ADD;2017-01-06 16:45:00;2017-01-06 17:45:00
KUL;MEL;2016-06-11 22:30:00;2016-06-12 08:20:00
AKL;BHE;2017-01-02 11:55:00;2017-01-02 13:25:00
FPO;NAS;2016-06-29 14:50:00;2016-06-29 15:30:00
VIE;HAM;2017-01-09 07:20:00;2017-01-09 09:00:00
BOD;NTE;2016-12-16 07:05:00;2016-12-16 07:50:00
CMN;IST;2016-09-12 12:15:00;2016-09-12 18:40:00
DUS;VCE;2016-10-03 10:45:00;2016-10-03 12:20:00
CPH;AMS;2017-03-25 12:10:00;2017-03-25 13:35:00
HYD;LHR;2017-02-12 07:40:00;2017-02-12 13:00:00
SJO;LIR;2016-11-10 08:40:00;2016-11-10 09:27:00
PBH;DAC;2016-07-28 14:10:00;2016-07-28 15:10:00
BMV;DAD;2016-09-17 16:05:00;2016-09-17 17:10:00
DAD;SGN;2016-12-07 06:55:00;2016-12-07 08:25:00
CDG;VCE;2016-12-07 10:15:00;2016-12-07 11:55:00
PMI;NRN;2017-06-02 20:40:00;2017-06-02 23:05:00
BSL;LHR;2016-12-06 15:10:00;2016-12-06 15:50:00
ATH;LHR;2016-11-18 19:10:00;2016-11-18 21:15:00
ICN;OKA;2016-07-13 09:40:00;2016-07-13 11:55:00
BRU;LGW;2016-03-26 18:15:00;2016-03-26 18:30:00
ZUH;WUH;2016-04-05 08:20:00;2016-04-05 10:00:00
AMS;BRE;2016-04-09 08:45:00;2016-04-09 09:40:00
DEL;GOP;2016-08-05 13:00:00;2016-08-05 15:00:00
SYD;WGA;2016-03-26 15:15:00;2016-03-26 16:30:00
BCN;IBZ;2016-12-05 10:35:00;2016-12-05 11:25:00
GLA;CFN;2016-05-13 16:35:00;2016-05-13 17:25:00
RNS;MRS;2016-05-13 17:50:00;2016-05-13 19:20:00
BAQ;MTR;2016-06-26 19:35:00;2016-06-26 20:20:00
CWB;IGU;2016-04-24 23:14:00;2016-04-25 00:32:00
TIF;CAI;2016-05-18 01:45:00;2016-05-18 23:40:00
YYZ;YOW;2017-01-25 20:15:00;2017-01-25 21:18:00
ORY;MAD;2016-07-26 11:40:00;2016-07-26 13:40:00
ORY;PTP;2016-07-14 15:25:00;2016-07-14 17:55:00
LHR;DUS;2017-03-01 15:40:00;2017-03-01 18:00:00
MAD;ORY;2017-01-19 17:30:00;2017-01-19 19:30:00
DAD;SGN;2016-12-07 08:05:00;2016-12-07 09:35:00
AER;OMS;2016-08-09 11:30:00;2016-08-09 18:20:00
CGO;FOC;2016-08-09 09:10:00;2016-08-09 11:10:00
KGF;ALA;2016-05-27 20:00:00;2016-05-27 21:15:00
KRT;RUH;2017-05-12 02:45:00;2017-05-12 05:35:00
CDG;NAP;2016-12-17 12:35:00;2016-12-17 14:45:00
QOW;LOS;2016-08-15 17:20:00;2016-08-15 18:35:00
PUS;CJU;2017-01-01 14:45:00;2017-01-01 15:45:00
DXB;BGW;2016-12-30 08:05:00;2016-12-30 09:40:00
VCL;SGN;2016-10-27 15:10:00;2016-10-27 16:25:00
AUH;IST;2016-11-05 08:55:00;2016-11-05 12:40:00
BLR;GOI;2016-09-15 17:00:00;2016-09-15 18:15:00
DGO;MEX;2016-06-27 14:30:00;2016-06-27 16:10:00
MNL;TUG;2016-09-24 14:00:00;2016-09-24 15:15:00
HAK;HGH;2016-10-08 11:05:00;2016-10-08 13:40:00
PLZ;JNB;2015-10-16 16:15:00;2015-10-16 17:55:00
YYZ;LHR;2016-03-28 21:40:00;2016-03-29 09:35:00
DOH;CGK;2016-04-03 13:35:00;2016-04-04 02:30:00
BDQ;DEL;2016-04-24 16:30:00;2016-04-24 18:00:00
CDG;VCE;2016-12-07 13:20:00;2016-12-07 14:55:00
WAW;WRO;2016-06-14 19:40:00;2016-06-14 20:35:00
SGN;BMV;2016-06-20 07:50:00;2016-06-20 08:50:00
HGH;PEK;2016-07-04 11:05:00;2016-07-04 13:20:00
PRG;WAW;2016-07-25 17:00:00;2016-07-25 18:10:00
PVG;BKK;2016-06-02 21:30:00;2016-06-03 00:00:00
NBO;LOK;2016-05-23 06:00:00;2016-05-23 08:05:00
SCL;ANF;2016-09-01 13:35:00;2016-09-01 15:40:00
MMK;SIP;2016-09-05 03:10:00;2016-09-05 07:00:00
SDR;BCN;2016-11-04 19:50:00;2016-11-04 21:00:00
KIV;FCO;2016-08-28 12:40:00;2016-08-28 13:50:00
EJH;RUH;2016-11-13 08:10:00;2016-11-13 09:50:00
IDR;DEL;2016-11-03 10:05:00;2016-11-03 11:40:00
ORY;NCE;2017-01-24 16:20:00;2017-01-24 17:40:00
SVG;BGO;2017-03-16 09:20:00;2017-03-16 10:00:00
YYC;YVR;2016-11-21 21:00:00;2016-11-21 21:32:00
WTB;CNS;2016-10-11 09:00:00;2016-10-11 11:15:00
POM;UNG;2017-01-13 14:05:00;2017-01-13 16:05:00
RUH;ULH;2016-08-06 20:25:00;2016-08-06 22:00:00
SDU;CGH;2016-05-27 13:45:00;2016-05-27 14:40:00
MEX;BJX;2016-06-15 21:20:00;2016-06-15 22:30:00
SXB;NTE;2016-09-20 14:50:00;2016-09-20 16:15:00
CGK;DPS;2016-08-28 19:30:00;2016-08-28 22:25:00
CNF;GYN;2016-05-12 21:00:00;2016-05-12 22:35:00
ADL;PLO;2017-05-11 19:35:00;2017-05-11 20:25:00
BJX;MEX;2016-11-08 15:10:00;2016-11-08 16:15:00
YXU;YVR;2016-09-16 13:25:00;2016-09-16 17:59:00
PTY;POA;2017-04-07 15:19:00;2017-04-08 00:30:00
PRG;EIN;2016-07-03 09:10:00;2016-07-03 10:35:00
YYZ;YOW;2017-01-25 22:30:00;2017-01-25 23:36:00
MEX;HUX;2017-04-15 08:50:00;2017-04-15 10:00:00
ALC;AAL;2015-04-11 16:45:00;2015-04-11 20:00:00
CNS;OOL;2015-10-18 14:45:00;2015-10-18 17:00:00
CWB;CGH;2016-03-20 10:35:00;2016-03-20 11:40:00
LCY;DUB;2016-03-29 13:40:00;2016-03-29 14:55:00
LCY;HAM;2016-03-29 18:20:00;2016-03-29 21:00:00
NCE;LGW;2016-04-01 20:55:00;2016-04-01 21:55:00
MAB;STM;2016-05-23 00:15:00;2016-05-23 03:05:00
BGO;ALC;2016-05-22 11:05:00;2016-05-22 14:45:00
JER;EMA;2016-07-04 14:40:00;2016-07-04 15:55:00
YQB;YUL;2016-05-19 13:20:00;2016-05-19 14:14:00
BJX;MEX;2016-11-08 17:30:00;2016-11-08 18:35:00
KBP;PRG;2016-07-22 09:20:00;2016-07-22 10:25:00
BGW;BEY;2017-05-14 14:50:00;2017-05-14 16:25:00
HND;OIT;2017-02-02 08:00:00;2017-02-02 09:45:00
BRI;VRN;2016-11-03 16:45:00;2016-11-03 18:15:00
HUI;SGN;2016-11-09 22:25:00;2016-11-09 23:45:00
HKT;BKK;2017-05-01 11:35:00;2017-05-01 12:55:00
BOM;JAI;2017-04-15 15:25:00;2017-04-15 17:10:00
AMS;HAM;2016-12-26 16:45:00;2016-12-26 17:50:00
MCT;MUC;2016-12-10 13:45:00;2016-12-10 17:40:00
IST;CDG;2016-06-15 11:35:00;2016-06-15 13:55:00
YQR;YYZ;2017-01-01 05:45:00;2017-01-01 09:49:00
SQG;PNK;2016-08-21 13:35:00;2016-08-21 14:20:00
MEX;HUX;2017-04-15 11:55:00;2017-04-15 13:05:00
PCL;LIM;2016-10-16 16:00:00;2016-10-16 17:00:00
SJO;LIR;2016-11-10 14:25:00;2016-11-10 15:12:00
RUN;ORY;2016-10-24 22:30:00;2016-10-25 07:45:00
ZUH;PEK;2016-11-05 21:15:00;2016-11-06 00:30:00
WUH;ENH;2016-08-09 15:50:00;2016-08-09 17:00:00
KUL;CGK;2016-07-29 14:55:00;2016-07-29 16:00:00
VIE;HAM;2017-01-09 17:30:00;2017-01-09 19:05:00
CGK;BPN;2016-11-13 19:30:00;2016-11-13 22:30:00
SGN;VII;2016-03-27 09:40:00;2016-03-27 11:25:00
PVH;POA;2016-04-02 14:30:00;2016-04-02 23:25:00
KBP;LHR;2016-03-27 14:25:00;2016-03-27 15:55:00
BDO;SUB;2016-03-23 07:05:00;2016-03-23 08:15:00
NBO;LOK;2016-05-23 15:00:00;2016-05-23 17:00:00
CAN;PEK;2016-08-25 08:30:00;2016-08-25 11:40:00
BCN;LIS;2017-04-25 16:50:00;2017-04-25 17:45:00
KIX;ICN;2016-04-01 17:00:00;2016-04-01 18:50:00
POA;SSA;2016-04-24 19:40:00;2016-04-25 00:15:00
TSN;SHA;2017-01-25 17:05:00;2017-01-25 18:50:00
TUN;MRS;2017-02-10 10:35:00;2017-02-11 10:08:00
SXF;PSA;2017-06-02 18:00:00;2017-06-02 19:50:00
IGU;GRU;2016-10-03 12:50:00;2016-10-03 14:55:00
LYS;ORY;2016-11-05 07:25:00;2016-11-05 08:35:00
BLR;PNQ;2016-05-12 05:45:00;2016-05-12 07:00:00
KBV;DMK;2017-03-15 17:25:00;2017-03-15 19:20:00
UBJ;HND;2017-02-28 19:15:00;2017-02-28 20:40:00
KTG;PNK;2016-08-10 14:25:00;2016-08-10 15:30:00
LHR;HAM;2017-04-20 08:45:00;2017-04-20 11:20:00
SPC;LPA;2016-07-05 21:20:00;2016-07-05 22:10:00
ADD;DUR;2016-09-20 08:30:00;2016-09-20 13:40:00
BGO;OSL;2016-05-31 18:45:00;2016-05-31 19:35:00
BGO;OSL;2016-05-31 17:30:00;2016-05-31 18:20:00
MIR;CDG;2017-02-14 14:00:00;2017-02-15 11:25:00
TAO;CSX;2016-09-05 22:55:00;2016-09-06 01:20:00
CJB;MAA;2016-05-23 07:55:00;2016-05-23 09:15:00
TRN;CTA;2017-05-31 15:10:00;2017-05-31 17:00:00
NTL;OOL;2016-11-27 19:45:00;2016-11-27 19:50:00
DXB;CGK;2016-12-16 10:55:00;2016-12-16 22:10:00
TSE;GUW;2017-03-03 08:30:00;2017-03-03 10:05:00
GOI;BOM;2016-05-22 13:05:00;2016-05-22 14:15:00
CGO;CTU;2016-11-05 19:10:00;2016-11-05 21:10:00
SIN;SRG;2015-10-30 13:40:00;2015-10-30 14:45:00
TSA;SHA;2016-04-01 11:30:00;2016-04-01 13:10:00
KMG;WUH;2016-03-16 21:10:00;2016-03-17 00:30:00
WUH;SYX;2016-03-16 19:30:00;2016-03-16 22:00:00
ZUH;WUH;2016-04-05 13:30:00;2016-04-05 15:10:00
OTP;FRA;2016-10-31 07:05:00;2016-10-31 08:50:00
PNH;HKG;2016-06-13 17:35:00;2016-06-13 21:20:00
OSL;ALC;2016-11-20 06:30:00;2016-11-20 10:20:00
BOM;SHJ;2017-01-09 04:55:00;2017-01-09 06:35:00
MAD;ORY;2017-01-19 19:45:00;2017-01-19 21:45:00
WUH;DLC;2016-08-13 12:35:00;2016-08-13 14:55:00
UBJ;HND;2017-02-28 07:40:00;2017-02-28 09:05:00
DPS;LOP;2016-07-09 10:55:00;2016-07-09 11:25:00
CPH;AMS;2017-03-25 14:15:00;2017-03-25 15:45:00
OLB;MXP;2016-08-14 21:50:00;2016-08-14 23:00:00
HAK;ZUH;2016-07-29 07:30:00;2016-07-29 08:30:00
SBW;BTU;2017-03-11 17:05:00;2017-03-11 17:40:00
CZX;SZX;2016-09-14 22:40:00;2016-09-15 01:00:00
JED;MED;2016-12-25 18:30:00;2016-12-25 19:30:00
BHX;TFS;2017-01-31 07:05:00;2017-01-31 11:35:00
HAN;HKG;2016-11-09 10:40:00;2016-11-09 13:30:00
BHX;JER;2016-07-05 10:50:00;2016-07-05 12:00:00
RUH;TUU;2016-12-19 06:25:00;2016-12-19 08:35:00
BOM;JAI;2016-10-03 05:55:00;2016-10-03 07:30:00
DOH;LHR;2016-12-16 06:35:00;2016-12-16 11:05:00
LIL;LYS;2016-11-03 13:25:00;2016-11-03 14:40:00
BHX;ABZ;2016-06-08 16:40:00;2016-06-08 18:05:00
XNN;XIY;2016-05-27 12:35:00;2016-05-27 13:55:00
CGK;UPG;2016-08-11 15:40:00;2016-08-11 19:05:00
DUS;LIN;2016-07-27 17:45:00;2016-07-27 19:20:00
CGQ;PVG;2016-08-14 18:20:00;2016-08-14 21:05:00
KMG;HAK;2016-05-13 10:55:00;2016-05-13 12:50:00
BRU;LYS;2016-04-24 17:55:00;2016-04-24 19:20:00
DOH;DXB;2016-04-03 09:25:00;2016-04-03 11:35:00
KLO;MNL;2016-04-26 10:15:00;2016-04-26 11:15:00
TAO;HGH;2016-03-26 17:25:00;2016-03-26 19:05:00
TSN;XMN;2016-05-01 08:05:00;2016-05-01 10:50:00
GIG;BEL;2016-05-23 21:45:00;2016-05-24 01:26:00
HYD;TIR;2016-11-29 07:30:00;2016-11-29 08:50:00
NNG;ICN;2016-09-10 15:00:00;2016-09-10 20:05:00
MAN;CRL;2017-02-13 07:50:00;2017-02-13 10:15:00
MRS;AMS;2016-10-31 06:55:00;2016-10-31 09:00:00
CMB;BTC;2016-05-16 14:00:00;2016-05-16 15:15:00
KIV;OTP;2017-02-13 05:55:00;2017-02-13 07:10:00
WUH;DLC;2016-08-13 19:30:00;2016-08-13 21:50:00
MAH;STR;2016-05-08 19:40:00;2016-05-08 21:35:00
ZUH;KMG;2016-07-22 18:30:00;2016-07-22 20:25:00
HET;CSX;2016-06-22 18:45:00;2016-06-22 21:15:00
BDO;PNK;2016-06-07 12:55:00;2016-06-07 14:35:00
CDG;PRG;2017-03-16 10:30:00;2017-03-16 12:15:00
PUU;BOG;2016-09-21 16:02:00;2016-09-21 17:42:00
DOH;LHR;2016-12-16 07:45:00;2016-12-16 12:25:00
JED;MED;2016-12-25 22:30:00;2016-12-25 23:30:00
EMD;BNE;2016-09-19 08:05:00;2016-09-19 09:50:00
SFG;PTP;2016-12-26 09:15:00;2016-12-26 10:05:00
EMD;BNE;2016-09-19 13:10:00;2016-09-19 14:55:00
WUH;PVG;2016-08-12 20:30:00;2016-08-12 22:05:00
CPH;AMS;2017-03-25 17:20:00;2017-03-25 18:50:00
MIR;CDG;2017-05-30 10:00:00;2017-05-30 13:04:00
MYA;MIM;2016-10-31 19:55:00;2016-10-31 20:25:00
HKT;BKK;2017-05-01 22:45:00;2017-05-02 00:10:00
SXF;BUD;2017-06-04 06:50:00;2017-06-04 08:20:00
BGO;OSL;2016-05-31 20:45:00;2016-05-31 21:35:00
CGK;UPG;2016-08-11 09:20:00;2016-08-11 12:50:00
LIL;LYS;2016-11-03 18:05:00;2016-11-03 19:20:00
CPH;DOH;2016-11-25 17:20:00;2016-11-26 01:20:00
DQA;PEK;2016-08-13 07:25:00;2016-08-13 09:35:00
PPN;BOG;2016-04-08 11:40:00;2016-04-08 12:50:00
MNL;PPS;2016-01-23 16:20:00;2016-01-23 17:40:00
LCY;EDI;2016-03-31 19:00:00;2016-03-31 20:20:00
DMK;SUB;2016-03-21 18:10:00;2016-03-21 22:05:00
SAW;DOH;2016-03-09 18:35:00;2016-03-09 23:55:00
CAQ;PEI;2016-07-13 06:58:00;2016-07-13 16:50:00
PNQ;COK;2016-04-24 11:00:00;2016-04-24 13:55:00
VTZ;CCU;2016-04-24 08:55:00;2016-04-24 11:20:00
SYX;XIY;2016-05-02 13:50:00;2016-05-02 18:05:00
GIG;JPA;2016-10-07 09:30:00;2016-10-07 12:20:00
AYT;IST;2016-10-04 19:05:00;2016-10-04 20:20:00
SHJ;MCT;2017-02-08 08:20:00;2017-02-08 09:15:00
SPR;TZA;2016-11-01 09:00:00;2016-11-01 09:20:00
MAA;SIN;2016-12-17 10:00:00;2016-12-17 16:45:00
MDE;CHX;2017-02-24 10:00:00;2017-02-24 11:00:00
UDR;JAI;2017-01-04 09:45:00;2017-01-04 10:45:00
BMV;VII;2017-06-12 15:25:00;2017-06-12 16:50:00
ATH;TIA;2016-10-18 19:15:00;2016-10-18 19:30:00
PRG;CPH;2016-12-13 18:05:00;2016-12-13 19:25:00
BKK;CTU;2016-09-25 10:15:00;2016-09-25 14:25:00
CMN;ORN;2016-12-16 16:15:00;2016-12-16 18:35:00
BTH;PGK;2016-09-29 12:40:00;2016-09-29 14:05:00
YXE;YYZ;2016-12-25 06:10:00;2016-12-25 10:28:00
YOW;YTZ;2016-07-07 18:45:00;2016-07-07 19:45:00
IST;KIV;2017-06-09 15:00:00;2017-06-09 16:30:00
DUS;MUC;2017-02-10 10:30:00;2017-02-10 11:35:00
YIW;CGO;2016-10-28 08:10:00;2016-10-28 10:10:00
WAW;LED;2016-11-30 10:55:00;2016-11-30 14:50:00
CWB;POA;2016-06-25 14:41:00;2016-06-25 15:40:00
YVR;YZP;2016-06-26 13:10:00;2016-06-26 15:10:00
KUL;DPS;2016-05-16 20:45:00;2016-05-16 23:45:00
SZB;KBR;2016-06-13 17:00:00;2016-06-13 18:05:00
LCY;BLL;2016-03-26 19:05:00;2016-03-26 21:55:00
FLR;LCY;2016-03-28 13:40:00;2016-03-28 14:50:00
LGW;BRU;2016-03-31 14:00:00;2016-03-31 16:10:00
CSX;XIY;2016-03-20 17:05:00;2016-03-20 18:55:00
KIX;PUS;2016-05-21 10:35:00;2016-05-21 12:05:00
VGA;HYD;2016-05-24 21:25:00;2016-05-24 22:25:00
TXL;ZRH;2016-05-17 06:50:00;2016-05-17 08:20:00
KUL;BKI;2016-05-29 13:45:00;2016-05-29 16:20:00
AMS;CGK;2016-07-30 16:45:00;2016-07-31 11:40:00
CUU;GDL;2016-07-08 17:14:00;2016-07-08 20:04:00
BOM;IDR;2017-04-14 14:50:00;2017-04-14 16:20:00
MID;VSA;2016-06-01 14:31:00;2016-06-01 15:41:00
AMS;KGL;2017-01-04 09:55:00;2017-01-04 19:20:00
URC;XIY;2016-06-08 08:55:00;2016-06-08 12:10:00
CMN;RAK;2016-08-26 11:10:00;2016-08-26 12:00:00
SVG;BGO;2017-03-16 16:40:00;2017-03-16 17:20:00
HEL;RVN;2016-11-06 15:00:00;2016-11-06 16:20:00
LIN;PMO;2016-12-11 09:35:00;2016-12-11 11:10:00
GRU;BPS;2016-05-21 19:25:00;2016-05-21 21:15:00
TPE;HKG;2016-06-25 08:00:00;2016-06-25 09:50:00
SXF;BFS;2017-05-30 10:40:00;2017-05-30 12:00:00
RUH;TUU;2016-12-19 11:55:00;2016-12-19 14:05:00
MUC;FAO;2016-11-19 10:35:00;2016-11-19 12:45:00
HLA;CPT;2017-01-19 08:30:00;2017-01-19 10:45:00
PEK;XIY;2016-10-14 06:50:00;2016-10-14 08:55:00
AJF;RUH;2016-12-06 00:05:00;2016-12-06 01:40:00
AEP;NQN;2016-09-18 15:30:00;2016-09-18 17:24:00
PUS;PEK;2016-12-20 14:20:00;2016-12-20 15:50:00
CGK;HKG;2016-10-10 14:25:00;2016-10-10 20:25:00
CDG;VCE;2016-12-07 16:15:00;2016-12-07 17:50:00
CGK;DPS;2016-08-28 06:00:00;2016-08-28 08:50:00
TRV;DEL;2017-03-22 12:05:00;2017-03-22 15:20:00
VIE;VCE;2016-10-18 09:10:00;2016-10-18 10:20:00
PAZ;MEX;2016-07-21 14:55:00;2016-07-21 15:55:00
MCT;BEY;2017-07-29 14:10:00;2017-07-29 17:45:00
CGO;CTU;2016-11-05 07:55:00;2016-11-05 09:50:00
TPP;IQT;2016-03-23 14:25:00;2016-03-23 15:25:00
FRA;LCY;2016-03-26 18:10:00;2016-03-26 18:40:00
GLA;STN;2016-03-30 09:30:00;2016-03-30 11:00:00
TXL;VIE;2016-04-15 17:00:00;2016-04-15 18:15:00
RGN;MDL;2016-04-24 06:30:00;2016-04-24 08:35:00
CBB;TJA;2016-03-23 21:05:00;2016-03-23 21:55:00
PRG;WAW;2016-07-25 12:40:00;2016-07-25 13:55:00
HRB;BKK;2016-04-10 07:40:00;2016-04-10 12:50:00
DUS;FUE;2016-11-05 11:40:00;2016-11-05 15:30:00
FCO;DUB;2016-05-13 21:15:00;2016-05-13 23:35:00
AEP;NQN;2016-09-18 19:50:00;2016-09-18 21:44:00
AUH;MEL;2016-10-04 10:40:00;2016-10-05 07:10:00
TIJ;GDL;2016-06-23 19:43:00;2016-06-24 00:38:00
LHR;BCN;2016-06-06 07:45:00;2016-06-06 10:55:00
DMK;NNG;2016-10-18 09:20:00;2016-10-18 12:35:00
YYZ;MUC;2016-12-01 20:10:00;2016-12-02 10:00:00
KNO;GNS;2016-09-20 06:00:00;2016-09-20 06:55:00
RZE;STN;2017-09-03 11:05:00;2017-09-03 12:40:00
ELQ;CAI;2016-08-22 14:00:00;2016-08-22 16:10:00
TSE;GUW;2017-03-03 20:20:00;2017-03-03 21:55:00
HER;STR;2016-07-20 12:55:00;2016-07-20 15:05:00
LYS;ORY;2016-11-05 11:15:00;2016-11-05 12:20:00
IQQ;SCL;2016-09-05 00:25:00;2016-09-05 02:40:00
HAM;FRA;2016-11-16 09:00:00;2016-11-16 10:15:00
IST;KHI;2017-03-28 20:30:00;2017-03-29 03:50:00
DJB;CGK;2017-06-25 11:15:00;2017-06-25 12:35:00
CGO;CTU;2016-11-05 21:50:00;2016-11-06 00:05:00
YYC;YVR;2016-11-21 16:08:00;2016-11-21 16:40:00
HMO;MEX;2016-09-23 06:03:00;2016-09-23 10:50:00
AMS;VIE;2016-11-04 07:10:00;2016-11-04 09:05:00
LGW;DUB;2016-05-13 10:10:00;2016-05-13 11:25:00
SUB;UPG;2016-10-26 11:35:00;2016-10-26 14:10:00
NCE;ORY;2016-11-04 11:30:00;2016-11-04 12:55:00
DJE;CDG;2017-04-08 17:15:00;2017-04-09 10:07:00
MEX;HUX;2017-04-15 14:35:00;2017-04-15 15:45:00
DUS;FUE;2016-10-03 06:00:00;2016-10-03 09:40:00
DPS;LBJ;2016-05-14 12:50:00;2016-05-14 14:00:00
ZNZ;DOH;2016-04-03 15:40:00;2016-04-03 22:35:00
BRU;AYT;2016-04-09 00:01:00;2016-04-10 00:01:00
OPO;LGW;2016-11-27 17:40:00;2016-11-27 19:55:00
UUD;KJA;2016-08-21 19:55:00;2016-08-21 21:45:00
MRS;RNS;2016-05-13 20:00:00;2016-05-13 21:30:00
DEL;BOM;2016-12-31 19:45:00;2016-12-31 21:50:00
ORY;DZA;2016-08-13 20:20:00;2016-08-14 07:20:00
CDG;PRG;2016-05-15 15:05:00;2016-05-15 16:45:00
NBO;BOM;2017-02-13 07:05:00;2017-02-13 15:30:00
DUB;DUS;2016-06-27 06:30:00;2016-06-27 09:40:00
ATH;MUC;2016-11-02 06:00:00;2016-11-02 07:35:00
RUH;TUU;2016-12-19 12:40:00;2016-12-19 14:50:00
DMM;HBE;2016-08-20 11:30:00;2016-08-20 14:30:00
IQT;LIM;2016-05-18 17:05:00;2016-05-18 18:50:00
LFW;LBV;2016-09-02 14:40:00;2016-09-02 17:40:00
TJM;OVB;2016-11-18 08:00:00;2016-11-18 11:00:00
FBM;NBO;2016-10-17 15:10:00;2016-10-17 18:45:00
FCO;MLA;2017-01-02 10:10:00;2017-01-02 11:35:00
PPS;MNL;2016-12-24 17:35:00;2016-12-24 18:55:00
CGH;UDI;2017-02-25 06:30:00;2017-02-25 07:53:00
PEK;CGK;2016-11-04 08:55:00;2016-11-04 15:00:00
BRU;IBZ;2016-07-24 16:00:00;2016-07-24 18:45:00
DEL;AMD;2016-06-21 23:40:00;2016-06-22 01:10:00
CWB;POA;2016-06-06 15:00:00;2016-06-06 16:15:00
MTY;ACA;2017-08-06 19:45:00;2017-08-06 21:30:00
ORY;TLN;2016-11-21 18:30:00;2016-11-21 19:50:00
CPH;DOH;2016-11-25 21:30:00;2016-11-26 05:30:00
GDL;CEN;2017-01-25 11:00:00;2017-01-25 11:55:00
YLW;YYJ;2016-11-15 06:45:00;2016-11-15 07:50:00
TSA;SHA;2016-04-01 17:15:00;2016-04-01 19:15:00
FCO;AOI;2016-05-26 15:00:00;2016-05-26 16:05:00
KWE;URC;2016-03-15 07:50:00;2016-03-15 13:35:00
GRU;SDU;2016-04-24 15:15:00;2016-04-24 16:02:00
BRU;BJV;2016-04-24 00:01:00;2016-04-25 00:01:00
GVA;CDG;2016-04-04 12:00:00;2016-04-04 13:10:00
KIX;PUS;2016-05-21 19:30:00;2016-05-21 21:05:00
KUL;BKI;2016-05-29 20:00:00;2016-05-29 22:35:00
GOI;BLR;2016-06-10 14:00:00;2016-06-10 18:35:00
CGH;UDI;2017-02-25 12:50:00;2017-02-25 14:05:00
LED;ARH;2017-06-11 09:50:00;2017-06-11 11:15:00
MNL;DPS;2016-06-17 21:00:00;2016-06-18 01:00:00
FCO;AOI;2016-05-26 10:20:00;2016-05-26 11:25:00
SXR;IXL;2016-08-31 09:25:00;2016-08-31 10:15:00
BHX;GCI;2016-07-11 08:30:00;2016-07-11 10:20:00
CSX;CKG;2016-06-18 14:00:00;2016-06-18 15:35:00
PKE;SYD;2016-10-05 17:20:00;2016-10-05 18:20:00
BGO;OSL;2016-11-12 16:50:00;2016-11-12 17:40:00
FLN;CGH;2016-07-24 16:55:00;2016-07-24 17:55:00
OSD;BMA;2016-09-23 12:45:00;2016-09-23 13:50:00
BEY;SHJ;2016-11-17 21:15:00;2016-11-18 02:50:00
WLG;CHC;2016-09-17 12:50:00;2016-09-17 13:50:00
ACC;IST;2016-06-23 19:45:00;2016-06-24 05:35:00
SZG;CGN;2016-11-05 09:40:00;2016-11-05 10:50:00
YEI;AYT;2016-08-05 09:30:00;2016-08-05 10:30:00
AUH;MEL;2016-11-14 10:30:00;2016-11-15 07:00:00
VNS;DEL;2016-07-20 20:15:00;2016-07-20 21:50:00
DEL;CMB;2016-09-19 12:30:00;2016-09-19 16:05:00
BLL;FRA;2016-05-09 18:45:00;2016-05-09 20:10:00
PMI;NRN;2017-06-04 09:35:00;2017-06-04 12:00:00
AHB;RUH;2016-09-26 23:35:00;2016-09-27 01:10:00
TLV;MXP;2017-05-10 12:25:00;2017-05-10 15:40:00
CYB;GCM;2016-11-13 18:10:00;2016-11-13 18:50:00
CGK;SIN;2017-01-27 17:40:00;2017-01-27 20:30:00
BTH;CGK;2016-09-10 19:05:00;2016-09-10 20:50:00
HKG;OKA;2016-04-07 07:25:00;2016-04-07 10:55:00
