source;destination;local_departure_time;local_arrival_time
ZRH;CDG;2016-12-15 10:30:00;2016-12-15 11:50:00
WNZ;PVG;2016-11-01 07:20:00;2016-11-01 08:30:00
CAN;KMG;2016-10-15 21:25:00;2016-10-15 23:55:00
KHS;MCT;2016-06-28 16:45:00;2016-06-28 17:50:00
FRA;TXL;2016-11-05 17:45:00;2016-11-05 18:55:00
DUB;LCY;2016-11-29 16:05:00;2016-11-29 17:30:00
TFN;BCN;2016-05-23 15:15:00;2016-05-23 19:25:00
EXT;NCL;2016-09-01 19:30:00;2016-09-01 20:45:00
PVG;MDG;2016-06-04 12:30:00;2016-06-04 15:25:00
ECN;SAW;2015-10-25 07:10:00;2015-10-25 08:40:00
VBY;BMA;2016-04-04 16:30:00;2016-04-04 17:10:00
WAW;BUD;2016-03-15 07:05:00;2016-03-15 08:25:00
KHI;ISB;2016-06-03 07:15:00;2016-06-03 09:15:00
BSL;LHR;2016-06-18 07:00:00;2016-06-18 07:40:00
PVG;BKK;2016-06-19 21:30:00;2016-06-20 00:00:00
MCP;BEL;2016-04-10 11:30:00;2016-04-10 12:30:00
OTP;FRA;2017-02-10 14:10:00;2017-02-10 15:50:00
SZX;DAX;2016-08-26 14:45:00;2016-08-26 17:00:00
CPT;HLA;2016-09-17 14:55:00;2016-09-17 16:50:00
FRA;DEL;2016-09-04 21:15:00;2016-09-05 08:30:00
ORY;MAD;2016-06-20 10:15:00;2016-06-20 12:20:00
TLL;OSL;2016-09-14 18:30:00;2016-09-14 19:05:00
LCY;EXT;2016-06-07 17:40:00;2016-06-07 18:40:00
AMD;BOM;2016-11-04 07:30:00;2016-11-04 08:55:00
CJU;GMP;2016-11-03 14:20:00;2016-11-03 15:25:00
MNL;MBT;2016-11-04 05:05:00;2016-11-04 06:20:00
LUW;UPG;2017-01-16 11:15:00;2017-01-16 12:25:00
BLR;HYD;2016-10-18 15:45:00;2016-10-18 16:45:00
LHR;SNN;2016-11-16 14:50:00;2016-11-27 16:25:00
NRT;MNL;2017-04-05 17:55:00;2017-04-05 21:35:00
WUX;CAN;2016-09-27 11:20:00;2016-09-27 13:45:00
SXF;MAN;2016-12-04 21:45:00;2016-12-04 23:00:00
CKG;SYX;2017-03-03 18:40:00;2017-03-03 21:00:00
DEL;LHR;2017-05-10 02:30:00;2017-05-10 07:30:00
HYD;TIR;2016-07-08 10:05:00;2016-07-08 12:20:00
POM;GKA;2016-09-17 08:00:00;2016-09-17 09:10:00
SYD;PVG;2016-12-10 10:50:00;2016-12-10 18:30:00
SDV;ETH;2016-05-09 19:00:00;2016-05-09 20:00:00
DUS;DRS;2016-03-11 11:55:00;2016-03-11 13:05:00
AMM;LHR;2016-03-28 10:10:00;2016-03-28 14:45:00
JED;DMM;2016-03-20 21:00:00;2016-03-20 23:00:00
CME;MEX;2016-06-05 15:37:00;2016-06-05 17:20:00
STR;HER;2016-06-17 06:25:00;2016-06-17 10:20:00
AYP;LIM;2016-08-22 17:30:00;2016-08-22 18:35:00
YBG;YUL;2016-05-09 15:45:00;2016-05-09 16:58:00
LYS;TUN;2016-11-06 11:35:00;2016-11-06 20:10:00
HYD;PNQ;2016-12-11 10:45:00;2016-12-11 12:05:00
TOS;VDS;2016-08-09 10:20:00;2016-08-09 11:27:00
HAN;SGN;2017-01-20 15:00:00;2017-01-20 17:10:00
YOW;YTZ;2016-11-09 18:30:00;2016-11-09 19:29:00
ORY;GVA;2016-05-23 18:00:00;2016-05-23 19:05:00
ALG;DXB;2017-01-20 15:05:00;2017-01-21 00:45:00
HEL;PMI;2016-04-16 14:45:00;2016-04-16 17:45:00
DAR;MBI;2016-10-25 06:30:00;2016-10-25 07:55:00
BVA;KRK;2017-02-03 09:20:00;2017-02-03 11:30:00
GIG;POA;2017-01-20 09:05:00;2017-01-20 11:04:00
HEL;BUD;2017-03-07 09:30:00;2017-03-07 10:50:00
KUL;MYY;2016-11-04 16:25:00;2016-11-04 18:40:00
